start_jst,home_away,opponent,week,season_type
2015-09-29 09:30,home,KC,3,REG
2015-10-05 05:25,away,SF,4,REG
2015-10-12 02:00,home,STL,5,REG
2015-10-19 05:25,home,SD,6,REG
2015-11-02 10:30,away,DEN,8,REG
2015-11-09 03:00,away,CAR,9,REG
2015-11-16 03:00,home,DET,10,REG
2015-11-23 06:25,away,MIN,11,REG
2015-11-27 10:30,home,CHI,12,REG
2015-12-04 10:25,away,DET,13,REG
2015-12-14 06:25,home,DAL,14,REG
2015-12-21 06:05,away,OAK,15,REG
2015-12-28 06:25,away,ARI,16,REG
2016-01-04 10:30,home,MIN,17,REG
2016-01-11 06:40,away,WAS,18,WC
2016-01-17 10:15,away,ARI,19,DIV
2016-09-12 02:00,away,JAX,1,REG
2016-09-19 09:30,away,MIN,2,REG
2016-09-26 02:00,home,DET,3,REG
2016-10-10 09:30,home,NYG,5,REG
2016-10-17 05:25,home,DAL,6,REG
2016-10-21 09:25,home,CHI,7,REG
2016-10-31 05:25,away,ATL,8,REG
2016-11-07 06:25,home,IND,9,REG
2016-11-14 03:00,away,TEN,10,REG
2016-11-21 10:30,away,WAS,11,REG
2016-11-29 10:30,away,PHI,12,REG
2016-12-05 03:00,home,HOU,13,REG
2016-12-12 06:25,home,SEA,14,REG
2016-12-19 03:00,away,CHI,15,REG
2016-12-25 03:00,home,MIN,16,REG
2017-01-02 10:30,away,DET,17,REG
2017-01-09 06:40,home,NYG,18,WC
2017-01-16 06:40,away,DAL,19,DIV
2017-01-23 05:05,away,ATL,20,CON
2017-09-11 05:25,home,SEA,1,REG
2017-09-18 09:30,away,ATL,2,REG
2017-09-25 05:25,home,CIN,3,REG
2017-09-29 09:25,home,CHI,4,REG
2017-10-09 05:25,away,DAL,5,REG
2017-10-16 02:00,away,MIN,6,REG
2017-10-23 02:00,home,NO,7,REG
2017-11-07 10:30,home,DET,9,REG
2017-11-13 03:00,away,CHI,10,REG
2017-11-20 03:00,home,BAL,11,REG
2017-11-27 10:30,away,PIT,12,REG
2017-12-04 03:00,home,TB,13,REG
2017-12-11 03:00,away,CLE,14,REG
2017-12-18 03:00,away,CAR,15,REG
2017-12-24 10:30,home,MIN,16,REG
2018-01-01 03:00,away,DET,17,REG
2018-09-10 09:20,home,CHI,1,REG
